scenario,policy,rep,epoch,epoch_cost,cumulative_regret
baseline,adaptive,11,2,17551.92,-75895.55
baseline,robust,11,3,20831.7,-52991.07
baseline,adaptive,11,3,20204.23,-55691.31
baseline,robust,11,4,32058.28,-20932.78
baseline,adaptive,11,4,27489.49,-28201.83
baseline,robust,11,5,60432.0,39499.22
baseline,adaptive,11,5,60432.0,32230.17
baseline,robust,12,0,1935.55,-84377.28
baseline,adaptive,12,0,1835.88,-84476.95
baseline,robust,12,1,13085.53,-71291.75
baseline,adaptive,12,1,11890.8,-72586.15
baseline,robust,12,2,18816.48,-52475.26
baseline,adaptive,12,2,18348.09,-54238.05
baseline,robust,12,3,22873.35,-29601.91
baseline,adaptive,12,3,22832.87,-31405.18
baseline,robust,12,4,8981.79,-20620.12
baseline,adaptive,12,4,8685.2,-22719.98
baseline,robust,12,5,45256.28,24636.16
baseline,adaptive,12,5,44675.77,21955.78
baseline,robust,13,0,9251.3,-78210.8
baseline,adaptive,13,0,8470.53,-78991.56
baseline,robust,13,1,12945.56,-65265.23
baseline,adaptive,13,1,13039.51,-65952.05
baseline,robust,13,2,23609.8,-41655.43
baseline,adaptive,13,2,22493.04,-43459.01
baseline,robust,13,3,17192.46,-24462.97
baseline,adaptive,13,3,15841.85,-27617.16
baseline,robust,13,4,12327.25,-12135.72
baseline,adaptive,13,4,10896.44,-16720.72
baseline,robust,13,5,30662.19,18526.47
baseline,adaptive,13,5,25660.45,8939.73
baseline,robust,14,0,6284.67,-85316.76
baseline,adaptive,14,0,4877.1,-86724.33
baseline,robust,14,1,15991.13,-69325.63
baseline,adaptive,14,1,15489.67,-71234.66
baseline,robust,14,2,18979.58,-50346.05
baseline,adaptive,14,2,18805.1,-52429.56
baseline,robust,14,3,14681.05,-35665.0
baseline,adaptive,14,3,15303.12,-37126.44
baseline,robust,14,4,14609.03,-21055.97
baseline,adaptive,14,4,14399.46,-22726.98
baseline,robust,14,5,50981.15,29925.18
baseline,adaptive,14,5,46444.84,23717.86
baseline,robust,15,0,4676.8,-101586.8
baseline,adaptive,15,0,3690.83,-102572.76
baseline,robust,15,1,9062.68,-92524.11
baseline,adaptive,15,1,8937.08,-93635.68
baseline,robust,15,2,22216.82,-70307.29
baseline,adaptive,15,2,21111.26,-72524.42
baseline,robust,15,3,30037.47,-40269.83
baseline,adaptive,15,3,27530.25,-44994.17
baseline,robust,15,4,41808.0,1538.17
baseline,adaptive,15,4,38434.65,-6559.51
baseline,robust,15,5,57792.0,59330.17
baseline,adaptive,15,5,57792.0,51232.49
baseline,robust,16,0,4282.97,-86999.77
baseline,adaptive,16,0,3862.22,-87420.52
baseline,robust,16,1,8274.79,-78724.98
baseline,adaptive,16,1,7338.39,-80082.12
baseline,robust,16,2,17720.11,-61004.87
baseline,adaptive,16,2,17356.56,-62725.57
baseline,robust,16,3,15147.09,-45857.77
baseline,adaptive,16,3,14778.78,-47946.79
baseline,robust,16,4,13084.56,-32773.21
baseline,adaptive,16,4,12698.22,-35248.58
baseline,robust,16,5,57331.2,24557.98
baseline,adaptive,16,5,52467.01,17218.44
baseline,robust,17,0,5065.38,-105163.96
baseline,adaptive,17,0,4504.26,-105725.07
baseline,robust,17,1,13420.68,-91743.28
baseline,adaptive,17,1,13333.04,-92392.03
baseline,robust,17,2,20482.34,-71260.94
baseline,adaptive,17,2,19878.58,-72513.46
baseline,robust,17,3,41531.89,-29729.04
baseline,adaptive,17,3,36014.74,-36498.72
baseline,robust,17,4,22896.0,-6833.04
baseline,adaptive,17,4,22896.0,-13602.72
baseline,robust,17,5,66192.0,59358.96
baseline,adaptive,17,5,66192.0,52589.28
baseline,robust,18,0,3915.87,-101249.41
baseline,adaptive,18,0,2977.43,-102187.85
baseline,robust,18,1,14001.6,-87247.82
baseline,adaptive,18,1,12886.0,-89301.85
baseline,robust,18,2,16980.08,-70267.74
baseline,adaptive,18,2,16079.1,-73222.75
baseline,robust,18,3,27476.28,-42791.46
baseline,adaptive,18,3,24799.79,-48422.96
baseline,robust,18,4,46343.45,3552.0
baseline,adaptive,18,4,29727.46,-18695.49
baseline,robust,18,5,67968.0,71520.0
baseline,adaptive,18,5,67968.0,49272.51
baseline,robust,19,0,6517.27,-86627.72
baseline,adaptive,19,0,5274.83,-87870.17
baseline,robust,19,1,13843.32,-72784.4
baseline,adaptive,19,1,13561.39,-74308.78
baseline,robust,19,2,15395.71,-57388.69
baseline,adaptive,19,2,15091.51,-59217.27
baseline,robust,19,3,27220.24,-30168.46
baseline,adaptive,19,3,25626.22,-33591.05
baseline,robust,19,4,31200.0,1031.54
baseline,adaptive,19,4,23874.98,-9716.08
baseline,robust,19,5,33456.0,34487.54
baseline,adaptive,19,5,33456.0,23739.92
baseline,robust,20,0,3934.75,-73977.91
baseline,adaptive,20,0,3257.57,-74655.09
baseline,robust,20,1,10804.77,-63173.14
baseline,adaptive,20,1,9412.74,-65242.36
baseline,robust,20,2,17797.73,-45375.4
baseline,adaptive,20,2,17852.36,-47390.0
baseline,robust,20,3,14924.83,-30450.57
baseline,adaptive,20,3,14514.8,-32875.2
baseline,robust,20,4,12560.95,-17889.62
baseline,adaptive,20,4,12621.03,-20254.16
baseline,robust,20,5,22196.96,4307.33
baseline,adaptive,20,5,31042.29,10788.13
baseline,robust,21,0,5794.52,-73636.93
baseline,adaptive,21,0,4764.88,-74666.57
baseline,robust,21,1,10601.4,-63035.53
baseline,adaptive,21,1,10516.34,-64150.23
baseline,robust,21,2,13631.5,-49404.04
baseline,adaptive,21,2,13240.8,-50909.44
baseline,robust,21,3,15186.25,-34217.79
baseline,adaptive,21,3,14968.2,-35941.24
baseline,robust,21,4,12824.85,-21392.93
baseline,adaptive,21,4,11171.42,-24769.81
baseline,robust,21,5,44682.04,23289.1
baseline,adaptive,21,5,35525.84,10756.03
baseline,robust,22,0,3420.97,-101311.01
baseline,adaptive,22,0,3203.6,-101528.37
baseline,robust,22,1,7502.69,-93808.32
baseline,adaptive,22,1,6043.98,-95484.39
baseline,robust,22,2,18900.78,-74907.55
baseline,adaptive,22,2,19079.04,-76405.36
baseline,robust,22,3,17357.77,-57549.78
baseline,adaptive,22,3,17376.92,-59028.44
baseline,robust,22,4,18051.47,-39498.31
baseline,adaptive,22,4,15651.02,-43377.42
baseline,robust,22,5,69600.0,30101.69
baseline,adaptive,22,5,56977.89,13600.47
baseline,robust,23,0,6423.5,-117514.09
baseline,adaptive,23,0,5040.76,-118896.82
baseline,robust,23,1,11332.74,-106181.35
baseline,adaptive,23,1,11181.53,-107715.29
baseline,robust,23,2,28993.34,-77188.01
baseline,adaptive,23,2,28259.38,-79455.92
baseline,robust,23,3,56820.69,-20367.31
baseline,adaptive,23,3,53426.08,-26029.84
baseline,robust,23,4,28512.0,8144.69
baseline,adaptive,23,4,28512.0,2482.16
baseline,robust,23,5,39840.0,47984.69
baseline,adaptive,23,5,39840.0,42322.16
baseline,robust,24,0,3075.67,-77494.72
baseline,adaptive,24,0,2771.59,-77798.8
baseline,robust,24,1,10529.51,-66965.21
baseline,adaptive,24,1,8488.19,-69310.61
baseline,robust,24,2,17603.1,-49362.11
baseline,adaptive,24,2,17341.43,-51969.18
baseline,robust,24,3,11772.41,-37589.7
baseline,adaptive,24,3,11625.9,-40343.27
baseline,robust,24,4,10028.78,-27560.93
baseline,adaptive,24,4,10191.8,-30151.48
baseline,robust,24,5,16955.72,-10605.2
baseline,adaptive,24,5,16967.25,-13184.22
baseline,robust,25,0,5865.6,-75750.1
baseline,adaptive,25,0,4834.67,-76781.03
baseline,robust,25,1,10524.72,-65225.37
baseline,adaptive,25,1,10593.03,-66188.0
baseline,robust,25,2,17779.34,-47446.03
baseline,adaptive,25,2,17990.36,-48197.64
baseline,robust,25,3,16004.52,-31441.51
baseline,adaptive,25,3,16096.13,-32101.51
baseline,robust,25,4,10050.26,-21391.25
baseline,adaptive,25,4,9986.35,-22115.16
baseline,robust,25,5,48349.56,26958.31
baseline,adaptive,25,5,37544.26,15429.11
baseline,robust,26,0,9595.91,-75896.77
baseline,adaptive,26,0,7922.24,-77570.44
baseline,robust,26,1,9911.32,-65985.45
baseline,adaptive,26,1,9999.01,-67571.43
baseline,robust,26,2,19266.88,-46718.57
baseline,adaptive,26,2,19092.05,-48479.38
baseline,robust,26,3,16983.44,-29735.13
baseline,adaptive,26,3,16861.69,-31617.69
baseline,robust,26,4,10894.36,-18840.76
baseline,adaptive,26,4,10659.31,-20958.37
baseline,robust,26,5,34628.05,15787.29
baseline,adaptive,26,5,29867.07,8908.7
baseline,robust,27,0,10241.06,-96260.13
baseline,adaptive,27,0,9654.6,-96846.59
baseline,robust,27,1,12563.04,-83697.09
baseline,adaptive,27,1,11507.88,-85338.71
baseline,robust,27,2,15195.51,-68501.58
baseline,adaptive,27,2,14211.21,-71127.5
baseline,robust,27,3,22641.07,-45860.51
baseline,adaptive,27,3,19849.58,-51277.92
baseline,robust,27,4,63930.75,18070.24
baseline,adaptive,27,4,58937.39,7659.47
baseline,robust,27,5,37440.0,55510.24
baseline,adaptive,27,5,37440.0,45099.47
baseline,robust,28,0,6589.11,-88262.76
baseline,adaptive,28,0,5722.75,-89129.11
baseline,robust,28,1,11823.99,-76438.77
baseline,adaptive,28,1,11175.47,-77953.65
baseline,robust,28,2,12528.58,-63910.19
baseline,adaptive,28,2,12860.4,-65093.25
baseline,robust,28,3,28763.18,-35147.01
baseline,adaptive,28,3,23909.76,-41183.48
baseline,robust,28,4,34368.0,-779.01
baseline,adaptive,28,4,23942.13,-17241.36
baseline,robust,28,5,66432.0,65652.99
baseline,adaptive,28,5,66432.0,49190.64
baseline,robust,29,0,4489.07,-91263.28
baseline,adaptive,29,0,3706.45,-92045.9
baseline,robust,29,1,11150.19,-80113.09
baseline,adaptive,29,1,10412.31,-81633.59
baseline,robust,29,2,19891.36,-60221.73
baseline,adaptive,29,2,18998.95,-62634.63
baseline,robust,29,3,14253.25,-45968.48
baseline,adaptive,29,3,13650.16,-48984.47
baseline,robust,29,4,18082.89,-27885.58
baseline,adaptive,29,4,13174.61,-35809.86
baseline,robust,29,5,73440.0,45554.42
baseline,adaptive,29,5,69357.64,33547.78
flash_flood,robust,0,0,4973.99,-225991.56
flash_flood,adaptive,0,0,4234.24,-226731.31
flash_flood,robust,0,1,11988.84,-214002.71
flash_flood,adaptive,0,1,11912.73,-214818.58
flash_flood,robust,0,2,22027.24,-191975.47
flash_flood,adaptive,0,2,21705.75,-193112.83
flash_flood,robust,0,3,132052.27,-59923.21
flash_flood,adaptive,0,3,122880.7,-70232.13
flash_flood,robust,0,4,81792.0,21868.79
flash_flood,adaptive,0,4,81792.0,11559.87
flash_flood,robust,0,5,40128.0,61996.79
flash_flood,adaptive,0,5,40128.0,51687.87
flash_flood,robust,1,0,6768.47,-201919.03
flash_flood,adaptive,1,0,5591.79,-203095.71
flash_flood,robust,1,1,9449.31,-192469.72
flash_flood,adaptive,1,1,9083.07,-194012.64
flash_flood,robust,1,2,16624.94,-175844.77
flash_flood,adaptive,1,2,16609.3,-177403.34
flash_flood,robust,1,3,87518.32,-88326.45
flash_flood,adaptive,1,3,77257.62,-100145.71
flash_flood,robust,1,4,97968.0,9641.55
flash_flood,adaptive,1,4,97968.0,-2177.71
flash_flood,robust,1,5,32688.0,42329.55
flash_flood,adaptive,1,5,32688.0,30510.29
flash_flood,robust,2,0,6771.79,-232916.31
flash_flood,adaptive,2,0,4973.48,-234714.63
flash_flood,robust,2,1,14363.04,-218553.27
flash_flood,adaptive,2,1,14017.16,-220697.46
flash_flood,robust,2,2,15793.11,-202760.16
flash_flood,adaptive,2,2,16399.93,-204297.53
flash_flood,robust,2,3,90428.72,-112331.44
flash_flood,adaptive,2,3,87425.43,-116872.1
flash_flood,robust,2,4,82992.0,-29339.44
flash_flood,adaptive,2,4,82992.0,-33880.1
flash_flood,robust,2,5,66048.0,36708.56
flash_flood,adaptive,2,5,66048.0,32167.9
flash_flood,robust,3,0,2472.16,-200679.48
flash_flood,adaptive,3,0,2200.65,-200951.0
flash_flood,robust,3,1,12248.64,-188430.85
flash_flood,adaptive,3,1,11458.96,-189492.04
flash_flood,robust,3,2,19309.31,-169121.53
flash_flood,adaptive,3,2,18338.5,-171153.53
flash_flood,robust,3,3,90776.96,-78344.58
flash_flood,adaptive,3,3,74389.52,-96764.01
flash_flood,robust,3,4,91872.0,13527.42
flash_flood,adaptive,3,4,91872.0,-4892.01
flash_flood,robust,3,5,51264.0,64791.42
flash_flood,adaptive,3,5,51264.0,46371.99
flash_flood,robust,4,0,5463.29,-183140.12
flash_flood,adaptive,4,0,3595.33,-185008.08
flash_flood,robust,4,1,10504.16,-172635.95
flash_flood,adaptive,4,1,10994.86,-174013.22
flash_flood,robust,4,2,16079.9,-156556.05
flash_flood,adaptive,4,2,15533.96,-158479.26
flash_flood,robust,4,3,88283.36,-68272.69
flash_flood,adaptive,4,3,82419.33,-76059.94
flash_flood,robust,4,4,62976.0,-5296.69
flash_flood,adaptive,4,4,62976.0,-13083.94
flash_flood,robust,4,5,68064.0,62767.31
flash_flood,adaptive,4,5,68064.0,54980.06
flash_flood,robust,5,0,2859.06,-205591.09
flash_flood,adaptive,5,0,2657.25,-205792.9
flash_flood,robust,5,1,11575.92,-194015.18
flash_flood,adaptive,5,1,10445.31,-195347.59
flash_flood,robust,5,2,17887.49,-176127.69
flash_flood,adaptive,5,2,17636.35,-177711.24
flash_flood,robust,5,3,130983.98,-45143.71
flash_flood,adaptive,5,3,120521.7,-57189.54
flash_flood,robust,5,4,63072.0,17928.29
flash_flood,adaptive,5,4,63072.0,5882.46
flash_flood,robust,5,5,41712.0,59640.29
flash_flood,adaptive,5,5,41712.0,47594.46
flash_flood,robust,6,0,8565.17,-201578.5
flash_flood,adaptive,6,0,7317.2,-202826.47
flash_flood,robust,6,1,7973.08,-193605.42
flash_flood,adaptive,6,1,7920.84,-194905.63
flash_flood,robust,6,2,16796.45,-176808.97
flash_flood,adaptive,6,2,16824.68,-178080.96
flash_flood,robust,6,3,96295.3,-80513.67
flash_flood,adaptive,6,3,96673.7,-81407.25
flash_flood,robust,6,4,71136.0,-9377.67
flash_flood,adaptive,6,4,71136.0,-10271.25
flash_flood,robust,6,5,64080.0,54702.33
flash_flood,adaptive,6,5,64080.0,53808.75
flash_flood,robust,7,0,2588.77,-210948.04
flash_flood,adaptive,7,0,2421.08,-211115.73
flash_flood,robust,7,1,10415.79,-200532.25
flash_flood,adaptive,7,1,9577.57,-201538.15
flash_flood,robust,7,2,15805.55,-184726.7
flash_flood,adaptive,7,2,15972.39,-185565.76
flash_flood,robust,7,3,96950.73,-87775.97
flash_flood,adaptive,7,3,91598.3,-93967.47
flash_flood,robust,7,4,97392.0,9616.03
flash_flood,adaptive,7,4,97392.0,3424.53
flash_flood,robust,7,5,56784.0,66400.03
flash_flood,adaptive,7,5,56784.0,60208.53
flash_flood,robust,8,0,8397.05,-231826.29
flash_flood,adaptive,8,0,7093.93,-233129.41
flash_flood,robust,8,1,12360.18,-219466.11
flash_flood,adaptive,8,1,12400.13,-220729.28
flash_flood,robust,8,2,18472.39,-200993.72
flash_flood,adaptive,8,2,18133.65,-202595.63
flash_flood,robust,8,3,108743.59,-92250.14
flash_flood,adaptive,8,3,100696.48,-101899.15
flash_flood,robust,8,4,79056.0,-13194.14
flash_flood,adaptive,8,4,79056.0,-22843.15
flash_flood,robust,8,5,71616.0,58421.86
flash_flood,adaptive,8,5,71616.0,48772.85
flash_flood,robust,9,0,4975.59,-232286.78
flash_flood,adaptive,9,0,3778.41,-233483.96
flash_flood,robust,9,1,14582.84,-217703.93
flash_flood,adaptive,9,1,14533.47,-218950.49
flash_flood,robust,9,2,16085.08,-201618.85
flash_flood,adaptive,9,2,15334.83,-203615.65
flash_flood,robust,9,3,91744.04,-109874.81
flash_flood,adaptive,9,3,75812.79,-127802.86
flash_flood,robust,9,4,83904.0,-25970.81
flash_flood,adaptive,9,4,83904.0,-43898.86
flash_flood,robust,9,5,77808.0,51837.19
flash_flood,adaptive,9,5,77808.0,33909.14
flash_flood,robust,10,0,2382.74,-157310.5
flash_flood,adaptive,10,0,2166.01,-157527.23
flash_flood,robust,10,1,2476.05,-154834.44
flash_flood,adaptive,10,1,1994.9,-155532.34
flash_flood,robust,10,2,15379.16,-139455.29
flash_flood,adaptive,10,2,14881.45,-140650.89
flash_flood,robust,10,3,105123.15,-34332.13
flash_flood,adaptive,10,3,98144.7,-42506.19
flash_flood,robust,10,4,40560.0,6227.87
flash_flood,adaptive,10,4,40560.0,-1946.19
flash_flood,robust,10,5,49680.0,55907.87
flash_flood,adaptive,10,5,49680.0,47733.81
flash_flood,robust,11,0,2168.31,-264522.88
flash_flood,adaptive,11,0,2036.84,-264654.36
flash_flood,robust,11,1,8487.41,-256035.47
flash_flood,adaptive,11,1,6850.27,-257804.09
flash_flood,robust,11,2,17856.08,-238179.39
flash_flood,adaptive,11,2,17551.92,-240252.17
flash_flood,robust,11,3,129066.2,-109113.19
flash_flood,adaptive,11,3,124827.03,-115425.14
flash_flood,robust,11,4,67440.0,-41673.19
flash_flood,adaptive,11,4,67440.0,-47985.14
flash_flood,robust,11,5,70032.0,28358.81
flash_flood,adaptive,11,5,70032.0,22046.86
flash_flood,robust,12,0,1935.55,-219440.31
flash_flood,adaptive,12,0,1835.88,-219539.98
flash_flood,robust,12,1,13534.12,-205906.19
flash_flood,adaptive,12,1,13006.22,-206533.76
flash_flood,robust,12,2,18816.48,-187089.7
flash_flood,adaptive,12,2,18348.09,-188185.67
flash_flood,robust,12,3,91101.07,-95988.63
flash_flood,adaptive,12,3,86307.77,-101877.89
flash_flood,robust,12,4,80448.0,-15540.63
flash_flood,adaptive,12,4,80448.0,-21429.89
